Date,Series_Complete_Cumulative,Series_Complete_Daily
06/25/2022,223380793,16782
06/26/2021,162645955,297213
06/26/2022,223390755,9962
06/27/2021,162797623,151668
06/27/2022,223419735,28980
06/28/2021,163105683,308060
06/28/2022,223449808,30073
06/29/2021,163466073,360390
06/29/2022,223480687,30879
06/30/2021,163820348,354275
06/30/2022,223512235,31548
07/01/2021,164159915,339567
07/01/2022,223543608,31373
07/02/2021,164504455,344540
07/02/2022,223557611,14003
07/03/2021,164694291,189836
07/03/2022,223565753,8142
07/04/2021,164721942,27651
07/04/2022,223567667,1914
07/05/2021,164931970,210028
07/05/2022,223600512,32845
07/06/2021,165272246,340276
07/06/2022,223631671,31159
07/07/2021,165594179,321933
07/07/2022,223662726,31055
07/08/2021,165907061,312882
07/08/2022,223697393,34667
07/09/2021,166253794,346733
07/09/2022,223714464,17071
07/10/2021,166461897,208103
07/10/2022,223724043,9579
07/11/2021,166570606,108709
07/11/2022,223754798,30755
07/12/2021,166846254,275648
07/12/2022,223787367,32569
07/13/2021,167119174,272920
07/13/2022,223823672,36305
07/14/2021,167393631,274457
07/14/2022,223859813,36141
07/15/2021,167664223,270592
07/15/2022,223901426,41613
07/16/2021,167969133,304910
07/16/2022,223922784,21358
07/17/2021,168159247,190114
07/17/2022,223935533,12749
07/18/2021,168265353,106106
07/18/2022,223973212,37679
07/19/2021,168518995,253642
07/19/2022,224013306,40094
07/20/2021,168777989,258994
07/20/2022,224054355,41049
07/21/2021,169047980,269991
07/21/2022,224098017,43662
07/22/2021,169309341,261361
07/22/2022,224149217,51200
07/23/2021,169598439,289098
07/23/2022,224180181,30964
07/24/2021,169773393,174954
07/24/2022,224194593,14412
07/25/2021,169837362,63969
07/25/2022,224231922,37329
07/26/2021,170060267,222905
07/26/2022,224274522,42600
07/27/2021,170313715,253448
07/27/2022,224316926,42404
07/28/2021,170574770,261055
07/28/2022,224360867,43941
07/29/2021,170829845,255075
07/29/2022,224407811,46944
07/30/2021,171125189,295344
07/30/2022,224429170,21359
